Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-TH_BD9.0-P4.00-D0.6-FD,1,QMB-09B-03,
"C1, C12, C13, C14, C16, C18, C4, C7",0402,8,100nF,C307331
C10,0402,1,22pF,C1555
"C11, C15, C17, C3",1206,4,47uF,C96123
"C2, C6",0603,2,10uF,C96446
"C5, C8",1206,2,22uF 25V,C12891
C9,0402,1,22nF,C1532
"D1, D42",D_SMA,2,D,C22452
"D10, D11, D13, D14, D16, D17, D19, D20, D22, D23, D25, D26, D28, D29, D31, D32, D33, D34, D36, D40, D41, D43, D44, D5, D6, D7, D8",D_SMA,27,SMAJ5.0A,C113952
"D12, D15, D18, D2, D21, D24, D27, D30, D4, D45, D9",D_SMA,11,D_TVS 12V,C89613
D3,SOT-23-6,1,SRV05-4-P-T7,C85364
"D35, D37, D38, D39",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,4,WS2812B-2020,C965555
DC1,CONN-TH_DC-005-2.5A-2.0,1,DC-005-2.5A-2.0,C319099
F1,1812,1,Polyfuse,C315901
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
"J10, J11, J12, J3, J4, J5, J6, J7, J8, J9",CONN-TH_47053-1000,10,Conn_01x04,C240840
"J16, J17",CONN-TH_8P-P1.25_HCTL_HC-1.25-8A,2,Conn_01x08,C2845526
L1,L_Sunlord_SWPA8040S,1,100uH,C334254
Q1,SOT-23,1,AO3400A,C20917
"R1, R6",0402,2,100k,C25741
"R10, R7",0402,2,5k1,C25905
R11,0402,1,100,C25076
"R12, R15, R18, R21, R24, R27, R30, R33, R36, R4",0603,10,100k,C25803
"R13, R16, R19, R2, R22, R25, R28, R31, R34, R37, R39, R40, R44, R45, R47, R5",0402,16,1k,C11702
"R14, R17, R20, R23, R26, R29, R3, R32, R35, R38, R46",0603,11,220,C22962
R41,0402,1,680k,C4131
R42,0402,1,220k,C25767
R43,0402,1,10k,C25744
"R48, R49, R50, R51, R52, R53",0603,6,100,C22775
R8,0402,1,16k 1%,C25759
R9,0402,1,110k 1%,C25745
"SW1, SW2, SW3, SW4",SW_TACTILE_5.1MM_TS-1187A-C-D-B,4,SW_Push,C318884
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N4,C2913197
U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,MT2492,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U5,CONN-SMD_4P-P1.00_HC-1.0-4PLT,1,HC-1.0-4PLT,C2845372
