Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,140.0,-64.8,0.0,top
C1,113.9,-47.28,90.0,top
C10,110.85,-86.62,270.0,top
C11,109.3,-82.4,270.0,top
C12,110.95,-81.72,270.0,top
C13,116.8,-85.3,270.0,top
C2,112.7,-47.225,90.0,top
C3,110.8,-47.7,90.0,top
C4,113.1,-50.78,270.0,top
C5,126.675,-91.4,0.0,top
C6,127.3,-70.53,90.0,top
C7,127.72,-69.15,180.0,top
C8,118.5,-85.3,270.0,top
C9,111.9,-82.78,90.0,top
D1,126.7,-84.8,0.0,top
D10,114.8,-138.7,0.0,top
D11,107.6,-138.7,180.0,top
D12,117.0,-145.4,90.0,top
D13,114.8,-150.7,0.0,top
D14,107.6,-150.7,180.0,top
D15,117.0,-157.4,90.0,top
D16,114.8,-162.7,0.0,top
D17,107.6,-162.7,180.0,top
D18,117.0,-169.4,90.0,top
D19,133.9,-115.2,180.0,top
D2,126.7,-88.4,0.0,top
D20,130.2,-120.9,90.0,top
D21,141.2,-116.3,0.0,top
D22,133.9,-127.2,180.0,top
D23,130.2,-132.9,90.0,top
D24,141.2,-128.3,0.0,top
D25,133.9,-139.2,180.0,top
D26,130.2,-144.9,90.0,top
D27,141.2,-140.3,0.0,top
D28,133.9,-151.2,180.0,top
D29,130.2,-156.9,90.0,top
D3,115.4625,-69.65,180.0,top
D30,141.2,-152.3,0.0,top
D31,133.6,-91.7,270.0,top
D32,133.6,-99.3,270.0,top
D33,110.9,-108.8,270.0,top
D34,138.1,-108.8,270.0,top
D35,115.3,-99.5,270.0,top
D36,115.3,-91.8,270.0,top
D4,117.0,-121.4,90.0,top
D5,114.8,-114.7,0.0,top
D6,107.6,-114.7,180.0,top
D7,114.8,-126.7,0.0,top
D8,107.6,-126.7,180.0,top
D9,117.0,-133.4,90.0,top
DC1,134.2175,-78.08,180.0,top
F1,126.2,-80.6,180.0,top
J1,108.58,-69.7,270.0,top
J10,139.2,-133.425,0.0,top
J11,139.2,-145.425,0.0,top
J12,139.2,-157.425,0.0,top
J3,109.7,-133.425,0.0,top
J4,125.675,-75.9,270.0,top
J5,109.7,-121.425,0.0,top
J6,109.7,-145.425,0.0,top
J7,109.7,-157.425,0.0,top
J8,109.7,-169.425,0.0,top
J9,139.2,-121.425,0.0,top
L1,116.8,-78.2,180.0,top
LED1,140.89,-48.7,0.0,top
Q1,123.9,-110.2625,90.0,top
R1,113.11,-49.3,0.0,top
R10,114.31,-72.0,0.0,top
R11,127.3,-66.6,270.0,top
R12,111.2,-129.3,0.0,top
R13,108.51,-117.5,180.0,top
R14,105.8125,-117.3,180.0,top
R15,111.2,-117.3,0.0,top
R16,108.51,-129.5,180.0,top
R17,105.8125,-129.3,180.0,top
R18,111.2,-141.3,0.0,top
R19,108.51,-141.5,180.0,top
R2,112.4,-99.3,270.0,top
R20,105.8125,-141.3,180.0,top
R21,111.2,-153.3,0.0,top
R22,108.51,-153.5,180.0,top
R23,105.8125,-153.3,180.0,top
R24,111.2,-165.3,0.0,top
R25,108.51,-165.5,180.0,top
R26,105.8125,-165.3,180.0,top
R27,132.8,-119.3875,270.0,top
R28,136.59,-117.5,0.0,top
R29,132.8,-122.8125,90.0,top
R3,135.9125,-55.9,0.0,top
R30,132.8,-131.3875,270.0,top
R31,136.59,-129.5,0.0,top
R32,132.8,-134.8125,90.0,top
R33,132.8,-143.3875,270.0,top
R34,136.59,-141.5,0.0,top
R35,132.8,-146.8125,90.0,top
R36,132.8,-155.3875,270.0,top
R37,136.59,-153.5,0.0,top
R38,132.8,-158.8125,90.0,top
R39,136.4,-91.71,270.0,top
R4,135.9,-54.3,0.0,top
R40,136.4,-99.31,270.0,top
R41,108.59,-61.0,0.0,top
R42,109.99,-62.1,0.0,top
R43,110.59,-61.0,0.0,top
R44,108.6,-107.61,270.0,top
R45,140.4,-107.6,270.0,top
R46,130.2,-66.4,180.0,top
R47,112.4,-91.5,270.0,top
R5,135.8875,-52.7,0.0,top
R6,115.5,-87.21,90.0,top
R7,108.49,-63.9,0.0,top
R8,110.39,-85.2,0.0,top
R9,111.8,-86.61,90.0,top
SW1,108.8,-91.7,0.0,top
SW2,108.8,-99.3,0.0,top
SW3,140.1,-91.7,0.0,top
SW4,140.1,-99.3,0.0,top
U1,124.15,-55.660000000000004,0.0,top
U2,125.5,-69.625,180.0,top
U3,114.35,-84.25,270.0,top
